Registros com >40h semanais ordenados por workclass:

?               | Bachelors       | 45h/semana
?               | Assoc-voc       | 50h/semana
?               | Some-college    | 72h/semana
?               | HS-grad         | 45h/semana
?               | Some-college    | 60h/semana
?               | Some-college    | 50h/semana
?               | Masters         | 46h/semana
?               | 11th            | 65h/semana
?               | HS-grad         | 45h/semana
?               | 11th            | 53h/semana
?               | HS-grad         | 70h/semana
?               | Some-college    | 75h/semana
?               | Doctorate       | 50h/semana
?               | Some-college    | 50h/semana
?               | 7th-8th         | 60h/semana
?               | HS-grad         | 45h/semana
?               | HS-grad         | 42h/semana
?               | Some-college    | 50h/semana
?               | Some-college    | 50h/semana
?               | 7th-8th         | 60h/semana
?               | Bachelors       | 55h/semana
?               | Bachelors       | 60h/semana
?               | 11th            | 58h/semana
?               | 5th-6th         | 45h/semana
?               | HS-grad         | 60h/semana
?               | Some-college    | 45h/semana
?               | Assoc-voc       | 50h/semana
?               | Doctorate       | 50h/semana
?               | 11th            | 60h/semana
?               | HS-grad         | 60h/semana
?               | Masters         | 50h/semana
?               | Some-college    | 60h/semana
?               | Some-college    | 70h/semana
?               | 10th            | 50h/semana
?               | Some-college    | 60h/semana
?               | Prof-school     | 80h/semana
?               | Some-college    | 50h/semana
?               | 9th             | 50h/semana
?               | Some-college    | 50h/semana
?               | 10th            | 99h/semana
?               | Bachelors       | 50h/semana
?               | 7th-8th         | 45h/semana
?               | 7th-8th         | 45h/semana
?               | Bachelors       | 60h/semana
?               | HS-grad         | 55h/semana
?               | Bachelors       | 50h/semana
?               | Masters         | 45h/semana
?               | HS-grad         | 65h/semana
?               | HS-grad         | 50h/semana
?               | Some-college    | 72h/semana
?               | HS-grad         | 50h/semana
?               | Some-college    | 45h/semana
?               | 11th            | 49h/semana
?               | Some-college    | 60h/semana
?               | 9th             | 42h/semana
?               | Assoc-acdm      | 55h/semana
?               | HS-grad         | 60h/semana
?               | Doctorate       | 70h/semana
?               | Bachelors       | 50h/semana
?               | Some-college    | 45h/semana
?               | Assoc-acdm      | 45h/semana
?               | HS-grad         | 60h/semana
?               | Bachelors       | 50h/semana
?               | Some-college    | 60h/semana
?               | Bachelors       | 50h/semana
?               | 10th            | 70h/semana
?               | HS-grad         | 45h/semana
?               | HS-grad         | 50h/semana
?               | 11th            | 84h/semana
?               | HS-grad         | 48h/semana
?               | 5th-6th         | 56h/semana
?               | Some-college    | 50h/semana
?               | Some-college    | 50h/semana
?               | HS-grad         | 60h/semana
?               | HS-grad         | 60h/semana
?               | Assoc-voc       | 90h/semana
?               | Bachelors       | 45h/semana
?               | 11th            | 72h/semana
?               | Some-college    | 60h/semana
?               | Bachelors       | 43h/semana
?               | HS-grad         | 60h/semana
?               | HS-grad         | 60h/semana
?               | Some-college    | 50h/semana
?               | HS-grad         | 55h/semana
?               | HS-grad         | 45h/semana
?               | 12th            | 48h/semana
?               | 9th             | 50h/semana
?               | Some-college    | 43h/semana
?               | HS-grad         | 50h/semana
?               | 12th            | 45h/semana
?               | 9th             | 45h/semana
?               | Assoc-acdm      | 55h/semana
?               | 7th-8th         | 45h/semana
?               | HS-grad         | 50h/semana
?               | Bachelors       | 50h/semana
?               | 10th            | 56h/semana
?               | Some-college    | 48h/semana
?               | HS-grad         | 75h/semana
?               | Bachelors       | 48h/semana
?               | HS-grad         | 60h/semana
?               | Assoc-acdm      | 45h/semana
?               | Bachelors       | 60h/semana
?               | 7th-8th         | 50h/semana
?               | Bachelors       | 45h/semana
?               | Bachelors       | 44h/semana
?               | Some-college    | 45h/semana
?               | Some-college    | 60h/semana
?               | HS-grad         | 60h/semana
?               | HS-grad         | 45h/semana
?               | Bachelors       | 50h/semana
?               | HS-grad         | 80h/semana
?               | Bachelors       | 50h/semana
?               | 10th            | 80h/semana
?               | Some-college    | 48h/semana
?               | HS-grad         | 75h/semana
?               | Some-college    | 84h/semana
?               | Some-college    | 50h/semana
?               | 5th-6th         | 49h/semana
?               | Bachelors       | 54h/semana
?               | Assoc-voc       | 56h/semana
?               | HS-grad         | 45h/semana
?               | HS-grad         | 60h/semana
?               | Assoc-voc       | 60h/semana
?               | HS-grad         | 60h/semana
?               | 5th-6th         | 50h/semana
?               | HS-grad         | 45h/semana
?               | 7th-8th         | 48h/semana
?               | HS-grad         | 42h/semana
?               | Bachelors       | 50h/semana
?               | Bachelors       | 56h/semana
?               | Masters         | 48h/semana
?               | Some-college    | 50h/semana
?               | Some-college    | 50h/semana
?               | Some-college    | 50h/semana
?               | Assoc-voc       | 54h/semana
?               | 7th-8th         | 44h/semana
?               | Masters         | 50h/semana
?               | HS-grad         | 55h/semana
?               | 7th-8th         | 48h/semana
?               | HS-grad         | 99h/semana
?               | Bachelors       | 55h/semana
?               | Some-college    | 45h/semana
?               | 7th-8th         | 84h/semana
?               | 11th            | 56h/semana
?               | Assoc-voc       | 80h/semana
?               | Some-college    | 60h/semana
?               | Bachelors       | 99h/semana
